45, 113
12, 33
26, 94
5, 111
30, 87
17, 18
7, 62
42, 50
39, 106
11, 61
18, 21
23, 79
29, 38
38, 105
47, 7
6, 112
4, 52
34, 114
36, 70
25, 48
15, 65
44, 16
31, 119
40, 120
2, 37
1, 85
16, 73
50, 101
49, 8
10, 56
32, 81
43, 104
8, 44
35, 99
27, 109
48, 20
37, 26
24, 41
19, 69
22, 58
3, 95
13, 32
46, 29
33, 89
20, 114
9, 47
41, 23
14, 40
28, 91
21, 99
49, 5
50, 125
1, 78
45, 79
12, 83
26, 118
5, 56
30, 94
17, 73
7, 3
42, 11
39, 60
11, 8
18, 55
23, 104
29, 43
38, 30
47, 82
6, 72
4, 47
34, 107
36, 63
25, 9
15, 15
44, 49
31, 109
40, 35
2, 54
1, 68
16, 115
50, 69
49, 123
10, 57
32, 80
43, 28
8, 18
35, 76
27, 92
48, 44
37, 97
24, 14
19, 105
22, 61
3, 1
13, 101
46, 53
33, 34
20, 100
9, 74
41, 57
14, 77
28, 122
21, 120
